,prov,finance_inf,count,prop,fininf_att,,,,,,,,
1,安徽省,1,597,60.73,从不关注,,,,从不关注,很少关注,一般,很关注,非常关注
2,安徽省,2,190,19.33,很少关注,,,安徽省,60.73,19.33,14.24,3.26,2.44
3,安徽省,3,140,14.24,一般,,,江苏省,57.13,20.8,17.32,3.48,1.27
4,安徽省,4,32,3.26,很关注,,,上海市,39.44,23.33,29.54,5.65,2.04
5,安徽省,5,24,2.44,非常关注,,,浙江省,46.76,22.43,23.78,5.41,1.62
6,江苏省,1,673,57.13,从不关注,,,,,,,,
7,江苏省,2,245,20.8,很少关注,,,,,,,,
8,江苏省,3,204,17.32,一般,,,,从不关注,很少关注,一般,很关注,非常关注
9,江苏省,4,41,3.48,很关注,,,安徽省,60.73%,19.33%,14.24%,3.26%,2.44%
10,江苏省,5,15,1.27,非常关注,,,江苏省,57.13%,20.80%,17.32%,3.48%,1.27%
11,上海市,1,426,39.44,从不关注,,,上海市,39.44%,23.33%,29.54%,5.65%,2.04%
12,上海市,2,252,23.33,很少关注,,,浙江省,46.76%,22.43%,23.78%,5.41%,1.62%
13,上海市,3,319,29.54,一般,,,,,,,,
14,上海市,4,61,5.65,很关注,,,,,,,,
15,上海市,5,22,2.04,非常关注,,,,,,,,
16,浙江省,1,519,46.76,从不关注,,,,,,,,
17,浙江省,2,249,22.43,很少关注,,,,,,,,
18,浙江省,3,264,23.78,一般,,,,,,,,
19,浙江省,4,60,5.41,很关注,,,,,,,,
20,浙江省,5,18,1.62,非常关注,,,,,,,,
